Organism Type,Bacteria Gram Stain,Species Code,Species Full Name,Reported Name ,CLSI Breakpoint Group,Other Group,CLSI Breakpoint Group Document,,,Pooled Name,Weighted Average Rule KEY,Reporting Rules,Weighted Average Rules
Bacteria,Negative,bacthe,Bacteroides thetaiotaomicron,Bacteroides fragilis group,Anaerobes,,M100,,,,,,
Bacteria,Negative,bacuni,Bacteroides uniformis,Bacteroides fragilis group,Anaerobes,,M100,,,,,,
Bacteria,Negative,bacvul,Bacteroides vulgatus,Bacteroides fragilis group,Anaerobes,,M100,,,,,,
Parasite,Positive,balcol,Balantidium coli,,,,,,,,,,
Bacteria,Negative,barspp,Barnesiella species,Barnesiella species,Anaerobes,,M100,,,,,,
Bacteria,Negative,barqui,Bartonella quintana,Other Non-Enterobacterales,,,,,,,,,
Filamentous Fungi,,basspp,Basidiobolus species,,,,,,,,,,
Filamentous Fungi,,basspe,Basidiomycete species,,,,,,,,,,
Virus,,77bav,Batken virus,,,,,,,,,,
Virus,,77byv,Bayou virus,,,,,,,,,,
Virus,,77bcv,Bear Canyon virus,,,,,,,,,,
Filamentous Fungi,,beabas,Beauveria bassiana,,,,,,,,,,
Filamentous Fungi,,beaspp,Beauveria species,,,,,,,,,,
Bacteria,Negative,berzoo,Bergeyella zoohelcum,Bergeyella zoohelcum,Anaerobes,,M100,,,,,,
Virus,,77bev,Bermejo virus,,,,,,,,,,
Bacteria,Positive,strngr,Beta-hemolytic Strep (non-groupable),B-hemolytic Group Streptococcus spp. ,Streptococcus spp. Beta-Hemolytic Group,,M100,,,,,,
Bacteria,Positive,strnab,Beta-hemolytic Strep (not group A or B),B-hemolytic Group Streptococcus spp. ,Streptococcus spp. Beta-Hemolytic Group,,M100,,,,,,
Bacteria,Positive,strna,Beta-hemolytic Strep (not group A),B-hemolytic Group Streptococcus spp. ,Streptococcus spp. Beta-Hemolytic Group,,M100,,,,,,
Bacteria,Positive,strgtf,Beta-hemolytic streptococcus (Lancefield group to follow),B-hemolytic Group Streptococcus spp. ,Streptococcus spp. Beta-Hemolytic Group,,M100,,,,,,
Virus,,77bhv,Bhanja virus,,,,,,,,,,
Bacteria,Positive,bifang,Bifidobacterium angulatum,Bifidobacterium spp,Anaerobes,,M100,,,,,,
Bacteria,Positive,bifbif,Bifidobacterium bifidum,Bifidobacterium spp,Anaerobes,,M100,,,,,,
Bacteria,Positive,bifbre,Bifidobacterium breve,Bifidobacterium spp,Anaerobes,,M100,,,,,,
Bacteria,Positive,bifcat,Bifidobacterium catenulatum,Bifidobacterium spp,Anaerobes,,M100,,,,,,
Bacteria,Positive,bifden,Bifidobacterium dentium,Bifidobacterium spp,Anaerobes,,M100,,,,,,
Bacteria,Positive,bifinf,Bifidobacterium infantis,Bifidobacterium spp,Anaerobes,,M100,,,,,,
Bacteria,Positive,biflon,Bifidobacterium longum,Bifidobacterium spp,Anaerobes,,M100,,,,,,
Bacteria,Positive,bifmag,Bifidobacterium magnum,Bifidobacterium spp,Anaerobes,,M100,,,,,,
Bacteria,Positive,bifspp,Bifidobacterium species,Bifidobacterium spp,Anaerobes,,M100,,,,,,
Bacteria,Negative,bilwad,Bilophila wadsworthia,Bilophila wadsworthia,Anaerobes,,M100,,,,,,
Filamentous Fungi,,bipspp,Bipolaris species,,,,,,,,,,
Filamentous Fungi,,gcpzck,Bla. capitatus/Pro. zopfii/C. krusei,,,,,,,,,,
Filamentous Fungi,,blahom,Blastocystis hominis,,,,,,,,,,
Filamentous Fungi,,blader,Blastomyces dermatitidis,,,,,,,,,,
Filamentous Fungi,,tricap,Blastoschizomyces capitatus,,,,,,,,,,
Filamentous Fungi,,blacap,Blastoschizomyces capitatus,,,,,,,,,,
Filamentous Fungi,,gcapzo,Blastoschizomyces capitatus/Prototheca zopfii,,,,,,,,,,
Bacteria,Negative,boravi,Bordetella avium,Bordetella spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,borbro,Bordetella bronchiseptica,Bordetella spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,borhol,Bordetella holmesii,Bordetella spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,bifpar,Bordetella parapertussis,Bordetella spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,bifper,Bordetella pertussis,Bordetella spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,borspp,Bordetella species,Bordetella spp.,Other Non-Enterobacterales,,M100,,,,,,
Bacteria,Negative,bortre,Bordetella trematum,Bordetella spp.,Other Non-Enterobacterales,,M100,,,,,,
